Loan ID,Issue Date,Borrower ID,State,Loan Amount,Interest Rate,Term (Months),Loan Status,Loan Grade,Loan Intent,Annual Income,Home Ownership,DTI,LTV,Total Payments Received,Recovery Amount
L0049,2023-10-23,B0049,CA,2524,7.5,60,Fully Paid,B,other,103933,OWN,0.16,0.75,2713.3,0.0
L0050,2023-10-19,B0050,NY,35888,14.5,60,Current,B,home improvement,52335,OWN,0.19,0.92,9756.72,0.0
L0051,2022-07-20,B0051,IL,16048,7.3,60,Fully Paid,D,small business,75095,MORTGAGE,0.31,0.76,17219.5,0.0
L0052,2022-12-04,B0052,NY,36111,14.7,36,Fully Paid,A,home improvement,109930,RENT,0.38,0.74,41419.32,0.0
L0053,2022-02-06,B0053,CA,38904,23.4,60,Charged Off,D,credit card,57197,OWN,0.14,0.84,13773.37,12116.05
L0054,2022-12-31,B0054,OH,35008,15.4,36,Fully Paid,E,small business,52010,RENT,0.23,0.82,40399.23,0.0
L0055,2021-06-11,B0055,OH,1060,17.3,60,Current,B,small business,54123,OWN,0.49,0.59,339.55,0.0
L0056,2021-07-21,B0056,MI,10130,8.1,60,Fully Paid,D,credit card,117923,MORTGAGE,0.2,0.71,10950.53,0.0
L0057,2023-09-23,B0057,GA,19023,5.9,60,Current,A,credit card,32890,RENT,0.23,0.71,6787.88,0.0
L0058,2021-09-27,B0058,IL,14350,7.2,60,Charged Off,B,debt consolidation,123305,MORTGAGE,0.43,0.67,5712.02,3379.84
L0059,2023-03-27,B0059,MI,25354,17.0,60,Fully Paid,G,other,139162,OWN,0.12,0.73,29664.18,0.0
L0060,2022-04-01,B0060,IL,29145,6.9,36,Current,G,small business,38026,MORTGAGE,0.29,0.69,4504.39,0.0
L0061,2023-10-14,B0061,IL,35020,12.5,60,Current,C,small business,94925,MORTGAGE,0.25,0.59,11583.76,0.0
L0062,2021-10-23,B0062,CA,21587,16.0,36,Current,F,credit card,98842,OWN,0.23,0.69,5550.98,0.0
L0063,2022-12-21,B0063,MI,10650,12.8,36,Fully Paid,C,credit card,63665,OWN,0.21,0.53,12013.2,0.0
L0064,2021-12-04,B0064,IL,20933,8.3,36,Charged Off,B,other,39277,RENT,0.14,0.76,2341.05,2519.27
L0065,2023-05-29,B0065,PA,21581,10.5,36,Fully Paid,B,credit card,72239,OWN,0.23,0.88,23847.0,0.0
L0066,2023-12-13,B0066,CA,24393,23.6,36,Fully Paid,F,home improvement,77664,RENT,0.12,0.83,30149.75,0.0
L0067,2023-03-03,B0067,OH,24051,18.5,60,Charged Off,A,home improvement,78008,MORTGAGE,0.41,0.66,2509.51,11762.86
L0068,2021-08-05,B0068,CA,27212,14.9,60,Current,C,home improvement,44683,MORTGAGE,0.26,0.54,2820.6,0.0
L0069,2023-02-03,B0069,TX,5090,5.3,60,Fully Paid,C,home improvement,30670,RENT,0.28,0.59,5359.77,0.0
L0070,2021-07-07,B0070,TX,7960,24.8,60,Fully Paid,D,other,119211,OWN,0.46,0.75,9934.08,0.0
L0071,2022-01-15,B0071,IL,36772,18.4,36,Fully Paid,C,small business,47889,OWN,0.36,0.59,43538.05,0.0
L0072,2022-05-08,B0072,MI,22520,11.3,60,Fully Paid,B,home improvement,85612,MORTGAGE,0.1,0.74,25064.76,0.0
L0073,2023-12-01,B0073,OH,37408,22.6,60,Fully Paid,A,credit card,74535,RENT,0.48,0.6,45862.21,0.0
L0074,2021-01-15,B0074,CA,29470,10.2,36,Current,C,home improvement,108542,MORTGAGE,0.19,0.88,10081.43,0.0
L0075,2021-03-06,B0075,MI,21491,15.9,36,Fully Paid,D,other,84319,MORTGAGE,0.14,0.68,24908.07,0.0
L0076,2022-06-05,B0076,CA,2341,17.7,60,Current,C,credit card,144072,OWN,0.41,0.61,714.53,0.0
L0077,2022-10-10,B0077,CA,25791,9.4,60,Current,D,home improvement,122067,RENT,0.3,0.87,7712.63,0.0
L0078,2023-12-23,B0078,PA,1338,24.6,36,Fully Paid,A,small business,51639,MORTGAGE,0.27,0.65,1667.15,0.0
L0079,2022-08-16,B0079,TX,6895,20.0,60,Fully Paid,F,credit card,94712,OWN,0.2,0.55,8274.0,0.0
L0080,2022-01-27,B0080,CA,13254,16.2,60,Fully Paid,C,credit card,46633,MORTGAGE,0.32,0.76,15401.15,0.0
L0081,2022-02-23,B0081,PA,12344,8.6,60,Fully Paid,A,small business,64660,MORTGAGE,0.21,0.76,13405.58,0.0
L0082,2021-10-16,B0082,TX,2750,6.1,60,Current,C,credit card,98975,OWN,0.46,0.82,176.92,0.0
L0083,2022-01-14,B0083,PA,3421,11.4,36,Fully Paid,E,home improvement,62172,OWN,0.19,0.61,3810.99,0.0
L0084,2021-08-19,B0084,MI,6319,20.1,36,Current,F,credit card,89197,RENT,0.45,0.7,1650.44,0.0
L0085,2023-10-15,B0085,GA,16896,10.4,36,Fully Paid,B,home improvement,131158,MORTGAGE,0.32,0.63,18653.18,0.0
L0086,2021-02-10,B0086,TX,12918,15.8,60,Fully Paid,D,small business,88847,RENT,0.43,0.54,14959.04,0.0
L0087,2023-11-18,B0087,NC,26064,19.6,60,Fully Paid,A,debt consolidation,41577,OWN,0.39,0.89,31172.54,0.0
L0088,2021-05-15,B0088,GA,28935,7.2,60,Fully Paid,A,small business,107299,OWN,0.38,0.83,31018.32,0.0
L0089,2021-07-20,B0089,MI,38641,18.7,60,Fully Paid,C,home improvement,50176,MORTGAGE,0.23,0.64,45866.87,0.0
L0090,2023-02-19,B0090,CA,30711,6.8,60,Fully Paid,D,other,74386,RENT,0.19,0.77,32799.35,0.0
L0091,2023-07-19,B0091,OH,5806,24.3,36,Charged Off,E,small business,93972,RENT,0.18,0.59,2191.11,417.13
L0092,2023-11-23,B0092,MI,13182,14.8,60,Current,B,other,119791,MORTGAGE,0.44,0.9,3017.58,0.0
L0093,2023-12-08,B0093,PA,23297,8.0,60,Fully Paid,A,other,71003,MORTGAGE,0.43,0.55,25160.76,0.0
L0094,2022-05-18,B0094,PA,20541,11.8,36,Fully Paid,C,home improvement,49996,RENT,0.28,0.5,22964.84,0.0
L0095,2022-02-11,B0095,PA,29921,13.3,60,Fully Paid,A,home improvement,130922,OWN,0.15,0.73,33900.49,0.0
L0096,2023-03-16,B0096,PA,17774,20.2,36,Fully Paid,A,debt consolidation,116598,OWN,0.25,0.76,21364.35,0.0
L0097,2021-04-09,B0097,MI,38198,19.9,36,Fully Paid,B,credit card,65931,MORTGAGE,0.35,0.76,45799.4,0.0
L0098,2022-11-15,B0098,OH,9820,17.2,36,Fully Paid,B,small business,65710,RENT,0.28,0.52,11509.04,0.0
L0099,2022-12-27,B0099,NY,25070,7.1,36,Fully Paid,B,home improvement,64693,RENT,0.41,0.64,26849.97,0.0
L0100,2023-08-19,B0100,PA,5232,8.0,36,Fully Paid,C,small business,65740,RENT,0.5,0.72,5650.56,0.0
L0101,2022-09-05,B0101,NY,12122,6.9,60,Fully Paid,A,other,107241,OWN,0.18,0.6,12958.42,0.0
L0102,2022-10-05,B0102,OH,16023,16.5,36,Fully Paid,A,credit card,138944,OWN,0.28,0.89,18666.8,0.0
L0103,2023-10-26,B0103,OH,9007,22.5,36,Current,D,debt consolidation,123583,RENT,0.27,0.54,2983.25,0.0
L0104,2022-05-18,B0104,GA,18905,13.7,60,Fully Paid,A,small business,106502,RENT,0.22,0.72,21494.98,0.0
L0105,2023-02-06,B0105,TX,30398,8.2,60,Fully Paid,D,credit card,47374,MORTGAGE,0.18,0.81,32890.64,0.0
L0106,2022-02-02,B0106,NC,35268,16.2,36,Current,A,debt consolidation,106674,MORTGAGE,0.13,0.62,14139.59,0.0
L0107,2023-05-21,B0107,IL,7737,21.2,60,Charged Off,B,small business,146500,RENT,0.45,0.78,2593.27,2439.15
L0108,2023-03-06,B0108,NC,37062,19.8,60,Charged Off,A,credit card,111471,RENT,0.27,0.87,9479.87,13222.79
L0109,2022-01-28,B0109,MI,26510,22.6,36,Current,A,home improvement,75913,OWN,0.3,0.59,11560.44,0.0
L0110,2021-07-26,B0110,IL,20426,10.6,36,Fully Paid,C,small business,96025,RENT,0.47,0.91,22591.16,0.0
L0111,2023-11-05,B0111,OH,38265,8.9,60,Current,F,credit card,74516,MORTGAGE,0.41,0.75,8652.49,0.0
L0112,2023-06-11,B0112,NC,18850,22.6,36,Current,A,debt consolidation,117796,OWN,0.15,0.63,8480.84,0.0
L0113,2023-05-14,B0113,FL,1614,18.2,36,Fully Paid,B,credit card,56069,MORTGAGE,0.33,0.69,1907.75,0.0
L0114,2023-01-13,B0114,TX,22776,11.2,60,Fully Paid,D,home improvement,148333,MORTGAGE,0.28,0.64,25326.91,0.0
L0115,2022-07-18,B0115,NC,25077,19.8,36,Charged Off,C,small business,86233,OWN,0.42,0.83,4314.95,11970.48
L0116,2023-10-18,B0116,TX,10374,21.3,36,Fully Paid,E,small business,114811,MORTGAGE,0.39,0.86,12583.66,0.0
L0117,2021-04-06,B0117,NY,36435,17.3,36,Fully Paid,A,small business,89049,RENT,0.38,0.87,42738.26,0.0
L0118,2022-04-30,B0118,MI,31907,18.8,36,Fully Paid,F,home improvement,131820,MORTGAGE,0.24,0.94,37905.52,0.0
L0119,2021-08-19,B0119,TX,14409,12.5,36,Fully Paid,B,debt consolidation,148028,OWN,0.42,0.86,16210.12,0.0
L0120,2023-01-19,B0120,NY,17514,15.8,60,Fully Paid,B,small business,69178,OWN,0.12,0.77,20281.21,0.0
L0121,2022-06-25,B0121,PA,30866,15.5,60,Current,E,debt consolidation,62821,OWN,0.16,0.65,5435.42,0.0
L0122,2023-11-26,B0122,NY,3983,22.0,36,Current,C,credit card,81727,MORTGAGE,0.23,0.75,294.36,0.0
L0123,2022-06-09,B0123,MI,32705,21.8,60,Fully Paid,C,debt consolidation,90935,RENT,0.13,0.52,39834.69,0.0
L0124,2022-08-01,B0124,GA,21662,21.7,36,Charged Off,D,debt consolidation,46999,OWN,0.19,0.84,7336.37,1820.32
L0125,2022-11-13,B0125,PA,24510,5.2,36,Fully Paid,C,small business,92522,RENT,0.43,0.7,25784.52,0.0
L0126,2022-07-11,B0126,OH,13651,20.0,36,Fully Paid,A,other,68712,OWN,0.48,0.51,16381.2,0.0
L0127,2023-10-10,B0127,CA,29535,20.2,36,Current,D,other,94551,RENT,0.22,0.53,7019.73,0.0
L0128,2022-10-08,B0128,NY,7640,18.6,36,Current,A,home improvement,70172,RENT,0.21,0.67,1169.7,0.0
L0129,2023-03-07,B0129,NY,16317,20.1,60,Current,E,home improvement,63722,RENT,0.21,0.76,2517.8,0.0
L0130,2023-11-18,B0130,TX,8564,21.8,60,Charged Off,G,other,40625,OWN,0.21,0.71,3172.28,2148.21
L0131,2021-07-09,B0131,OH,28345,14.4,36,Current,B,credit card,97165,MORTGAGE,0.11,0.78,12054.06,0.0
L0132,2022-09-25,B0132,NC,29687,15.0,60,Charged Off,B,small business,106509,MORTGAGE,0.47,0.72,7898.5,6839.85
L0133,2022-09-20,B0133,FL,14737,7.5,36,Fully Paid,A,small business,36859,MORTGAGE,0.19,0.8,15842.28,0.0
L0134,2023-08-31,B0134,IL,10323,12.7,60,Current,A,credit card,71609,RENT,0.27,0.6,3378.2,0.0
L0135,2022-12-11,B0135,NY,16229,17.9,36,In Grace Period,F,credit card,73307,OWN,0.1,0.55,0.0,0.0
L0136,2022-10-11,B0136,NC,9502,20.6,60,Current,A,other,140986,RENT,0.44,0.77,2503.27,0.0
L0137,2021-11-14,B0137,FL,1545,9.3,36,Fully Paid,B,home improvement,131582,OWN,0.39,0.72,1688.68,0.0
L0138,2022-11-15,B0138,IL,38114,7.8,36,Fully Paid,E,credit card,51839,RENT,0.48,0.51,41086.89,0.0
L0139,2022-10-26,B0139,CA,30430,18.3,60,Current,F,home improvement,57216,OWN,0.41,0.67,6884.79,0.0
L0140,2022-03-18,B0140,TX,10996,5.0,60,Fully Paid,C,debt consolidation,82953,OWN,0.23,0.55,11545.8,0.0
L0141,2022-07-18,B0141,NC,28788,8.6,36,Late (31-120 days),C,small business,114481,OWN,0.2,0.74,0.0,0.0
L0142,2023-08-10,B0142,TX,30969,5.6,60,Fully Paid,D,other,90593,RENT,0.38,0.68,32703.26,0.0
L0143,2022-11-30,B0143,IL,14919,8.3,36,Fully Paid,G,small business,102075,MORTGAGE,0.25,0.78,16157.28,0.0
L0144,2021-04-23,B0144,GA,4810,8.6,60,Charged Off,C,other,79522,RENT,0.33,0.86,1802.03,798.06
L0145,2021-01-02,B0145,NY,31586,12.8,60,Fully Paid,C,debt consolidation,129161,RENT,0.1,0.63,35629.01,0.0
L0146,2022-10-04,B0146,PA,17371,13.0,36,Fully Paid,A,small business,34886,OWN,0.12,0.93,19629.23,0.0
L0147,2021-08-08,B0147,FL,30629,22.5,60,Current,A,debt consolidation,141249,OWN,0.31,0.74,3262.78,0.0
L0148,2023-05-05,B0148,OH,9436,15.2,60,Current,C,other,37485,MORTGAGE,0.33,0.78,2248.61,0.0
L0149,2022-01-20,B0149,MI,13984,19.5,36,Fully Paid,F,credit card,61455,MORTGAGE,0.4,0.81,16710.88,0.0
L0150,2023-12-13,B0150,NY,34039,7.1,60,Late (31-120 days),E,small business,141984,OWN,0.15,0.8,0.0,0.0
L0151,2022-12-31,B0151,PA,20895,9.5,36,Fully Paid,G,debt consolidation,46767,MORTGAGE,0.31,0.73,22880.02,0.0
L0152,2021-09-04,B0152,MI,19155,19.1,36,Current,C,small business,142701,MORTGAGE,0.18,0.69,3927.79,0.0
L0153,2023-04-16,B0153,NC,11616,6.1,36,Fully Paid,E,small business,58453,OWN,0.14,0.52,12324.58,0.0
L0154,2021-07-22,B0154,MI,38129,14.7,36,Current,E,small business,106280,RENT,0.26,0.51,10453.74,0.0
L0155,2021-05-03,B0155,CA,25574,17.0,36,Fully Paid,D,home improvement,132638,MORTGAGE,0.17,0.66,29921.58,0.0
L0156,2022-02-05,B0156,NY,4430,17.0,60,Fully Paid,B,debt consolidation,83442,OWN,0.19,0.65,5183.1,0.0
L0157,2023-02-06,B0157,TX,13676,5.5,36,Fully Paid,C,debt consolidation,81877,MORTGAGE,0.23,0.67,14428.18,0.0
L0158,2021-10-21,B0158,GA,11816,11.4,36,Current,E,small business,42226,MORTGAGE,0.2,0.56,3024.12,0.0
L0159,2021-10-07,B0159,OH,33733,17.7,60,Fully Paid,B,credit card,123405,OWN,0.14,0.83,39703.74,0.0
L0160,2023-06-03,B0160,TX,21144,8.0,60,Current,F,small business,52588,MORTGAGE,0.14,0.89,5994.33,0.0
L0161,2021-07-17,B0161,PA,3050,18.9,60,Current,A,home improvement,108976,MORTGAGE,0.18,0.92,344.54,0.0
L0162,2023-09-09,B0162,NY,34933,19.9,36,Fully Paid,D,other,61709,MORTGAGE,0.12,0.72,41884.67,0.0
L0163,2023-01-22,B0163,GA,25951,24.6,36,Fully Paid,D,home improvement,77788,RENT,0.35,0.82,32334.95,0.0
L0164,2021-05-24,B0164,MI,33413,9.2,36,Fully Paid,D,credit card,118031,RENT,0.21,0.88,36487.0,0.0
L0165,2022-09-01,B0165,NY,35801,21.5,60,Current,B,small business,67019,MORTGAGE,0.21,0.69,10056.99,0.0
L0166,2021-07-06,B0166,MI,33913,15.4,36,Fully Paid,F,debt consolidation,74948,OWN,0.23,0.64,39135.6,0.0
L0167,2022-04-09,B0167,NC,26280,12.5,60,Fully Paid,D,small business,95133,MORTGAGE,0.37,0.92,29565.0,0.0
L0168,2022-10-22,B0168,CA,25557,7.4,36,Current,B,credit card,144444,MORTGAGE,0.45,0.73,4065.82,0.0
L0169,2023-02-03,B0169,IL,36400,19.7,60,Current,D,debt consolidation,96458,RENT,0.4,0.72,4839.35,0.0
L0170,2023-08-13,B0170,NY,5494,9.7,36,Fully Paid,B,home improvement,147603,RENT,0.39,0.58,6026.92,0.0
L0171,2022-02-07,B0171,PA,16152,12.4,36,Fully Paid,B,other,57526,RENT,0.29,0.55,18154.85,0.0
L0172,2021-05-27,B0172,MI,24895,6.3,36,Current,B,other,103493,MORTGAGE,0.38,0.88,1971.07,0.0
L0173,2023-05-14,B0173,TX,10155,21.0,60,Charged Off,E,small business,82198,MORTGAGE,0.32,0.78,3338.92,989.42
L0174,2022-05-04,B0174,NC,32883,20.3,60,Charged Off,C,home improvement,144100,OWN,0.19,0.65,7504.97,9677.33
L0175,2023-07-18,B0175,PA,2828,19.7,36,Current,D,credit card,129534,MORTGAGE,0.18,0.59,938.87,0.0
L0176,2022-07-05,B0176,OH,33123,11.0,36,Fully Paid,B,other,73395,MORTGAGE,0.22,0.75,36766.53,0.0
L0177,2021-12-04,B0177,IL,38573,8.5,36,Fully Paid,B,home improvement,54031,RENT,0.46,0.76,41851.7,0.0
L0178,2023-05-22,B0178,NC,1806,17.8,60,Fully Paid,F,small business,105542,RENT,0.32,0.59,2127.47,0.0
L0179,2022-10-03,B0179,CA,30757,14.9,36,Fully Paid,C,debt consolidation,67701,RENT,0.39,0.88,35339.79,0.0
L0180,2022-04-18,B0180,IL,35636,8.6,36,Current,F,small business,142599,RENT,0.24,0.54,13449.63,0.0
L0181,2021-05-31,B0181,MI,15561,18.7,36,Fully Paid,A,small business,55939,RENT,0.26,0.66,18470.91,0.0
L0182,2021-09-20,B0182,PA,25262,24.8,36,Fully Paid,A,home improvement,79145,OWN,0.15,0.81,31526.98,0.0
L0183,2021-05-24,B0183,OH,15899,19.9,60,In Grace Period,E,other,50324,OWN,0.17,0.62,0.0,0.0
L0184,2021-12-12,B0184,FL,16934,19.8,60,Fully Paid,D,home improvement,52867,OWN,0.43,0.87,20286.93,0.0
L0185,2022-09-16,B0185,CA,39197,24.0,36,Fully Paid,A,debt consolidation,30203,RENT,0.33,0.83,48604.28,0.0
L0186,2023-10-14,B0186,GA,37332,9.1,36,Fully Paid,B,home improvement,46544,RENT,0.24,0.86,40729.21,0.0
L0187,2023-05-31,B0187,MI,35157,16.3,60,Current,E,credit card,45899,RENT,0.42,0.55,12505.08,0.0
L0188,2021-01-02,B0188,FL,12593,24.6,60,Current,C,small business,59063,OWN,0.2,0.56,3295.91,0.0
L0189,2023-06-16,B0189,NY,18320,8.3,36,Fully Paid,D,other,120880,RENT,0.49,0.63,19840.56,0.0
L0190,2021-09-11,B0190,OH,28376,19.0,60,Fully Paid,B,debt consolidation,33748,OWN,0.24,0.73,33767.44,0.0
L0191,2022-03-29,B0191,TX,15199,16.7,60,Current,B,small business,135022,RENT,0.23,0.84,3413.0,0.0
L0192,2023-11-27,B0192,GA,16876,16.7,36,Current,G,home improvement,147269,MORTGAGE,0.22,0.88,3698.91,0.0
L0193,2023-10-12,B0193,PA,9245,19.0,60,Late (31-120 days),A,credit card,96629,OWN,0.15,0.82,0.0,0.0
L0194,2021-01-09,B0194,OH,8214,23.6,60,Current,C,home improvement,110764,MORTGAGE,0.14,0.92,2776.51,0.0
L0195,2023-03-27,B0195,IL,1726,20.7,36,Current,E,small business,50884,OWN,0.36,0.83,470.61,0.0
L0196,2021-07-27,B0196,NC,12362,6.1,36,Fully Paid,A,debt consolidation,55183,RENT,0.45,0.64,13116.08,0.0
L0197,2022-02-08,B0197,IL,19297,22.1,60,Fully Paid,B,other,111570,RENT,0.42,0.62,23561.64,0.0
L0198,2021-06-01,B0198,IL,31448,9.5,36,Fully Paid,C,small business,101246,MORTGAGE,0.16,0.81,34435.56,0.0
L0199,2021-02-23,B0199,NY,27172,12.5,60,Current,C,debt consolidation,138036,RENT,0.32,0.59,11741.28,0.0
L0200,2022-09-20,B0200,CA,8657,14.2,36,Current,C,small business,49259,OWN,0.14,0.54,3840.38,0.0
L0201,2022-08-10,B0201,TX,19850,14.6,60,Fully Paid,B,credit card,65959,RENT,0.12,0.74,22748.1,0.0
L0202,2021-04-14,B0202,GA,26425,13.7,36,Fully Paid,C,home improvement,146525,RENT,0.36,0.87,30045.22,0.0
L0203,2021-09-11,B0203,CA,27685,23.7,60,Fully Paid,C,other,63457,OWN,0.31,0.55,34246.34,0.0
L0204,2022-05-25,B0204,OH,25578,19.1,60,Charged Off,D,debt consolidation,115679,MORTGAGE,0.13,0.86,3866.58,7371.47
L0205,2021-04-09,B0205,IL,29831,17.6,60,Current,A,other,32103,MORTGAGE,0.11,0.87,3320.34,0.0
L0206,2021-06-02,B0206,NY,8906,6.0,36,Current,D,other,95901,RENT,0.5,0.72,2971.76,0.0
L0207,2023-07-03,B0207,OH,8287,23.1,36,Current,F,other,142314,OWN,0.11,0.53,1537.67,0.0
L0208,2023-05-28,B0208,NC,34660,23.2,60,Charged Off,C,debt consolidation,74535,MORTGAGE,0.28,0.58,3659.1,4720.73
L0209,2021-12-04,B0209,TX,11222,20.6,60,Current,D,debt consolidation,46103,MORTGAGE,0.3,0.82,5048.66,0.0
L0210,2023-04-02,B0210,GA,38443,5.1,36,Current,C,other,128046,RENT,0.15,0.82,5847.39,0.0
L0211,2023-08-15,B0211,NC,35701,6.1,36,Fully Paid,E,home improvement,120012,OWN,0.17,0.9,37878.76,0.0
L0212,2021-06-10,B0212,NY,18764,9.5,36,Fully Paid,F,small business,108278,MORTGAGE,0.24,0.76,20546.58,0.0
L0213,2023-03-12,B0213,TX,18674,7.6,36,Fully Paid,A,other,42391,RENT,0.4,0.56,20093.22,0.0
L0214,2022-02-02,B0214,OH,19024,13.0,36,Fully Paid,B,credit card,132476,RENT,0.3,0.55,21497.12,0.0
L0215,2023-03-27,B0215,IL,24874,23.5,36,Late (31-120 days),B,other,58901,RENT,0.36,0.82,0.0,0.0
