ShipmentID,OrderDate,DeliveryDate,ExpectedDate,OriginCity,DestinationCity,Region,Distance_km,Cost_USD,DeliveryStatus,DeliveryTime_Days
SHP0044,2024-11-22,2024-11-26,2024-11-26,Delhi,Kolkata,East,1179,1661.59,On-time,4
SHP0045,2024-02-08,2024-02-15,2024-02-15,Ahmedabad,Delhi,North,1759,1334.69,On-time,7
SHP0046,2024-03-06,2024-03-08,2024-03-08,Patna,Chennai,South,1960,2278.54,On-time,2
SHP0047,2024-05-07,2024-05-14,2024-05-14,Lucknow,Hyderabad,South,1196,970.81,On-time,7
SHP0048,2024-03-24,2024-03-28,2024-03-27,Ahmedabad,Bangalore,South,1558,1589.27,Cancelled,4
SHP0049,2024-03-22,2024-03-29,2024-03-29,Bhubaneswar,Chennai,South,129,135.03,On-time,7
SHP0050,2024-06-28,2024-07-02,2024-07-02,Mumbai,Chennai,South,1401,959.48,On-time,4
SHP0051,2024-02-05,2024-02-09,2024-02-09,Chennai,Bhubaneswar,East,868,1275.6,On-time,4
SHP0052,2024-04-01,2024-04-07,2024-04-07,Kolkata,Lucknow,North,1271,1620.69,Cancelled,6
SHP0053,2024-11-06,2024-11-12,2024-11-12,Pune,Bhubaneswar,East,1230,1770.58,On-time,6
SHP0054,2024-08-11,2024-08-15,2024-08-13,Chennai,Chandigarh,North,1152,1606.84,Delayed,4
SHP0055,2024-12-06,2024-12-12,2024-12-10,Chennai,Mumbai,West,1786,1960.85,Delayed,6
SHP0056,2024-06-07,2024-06-15,2024-06-14,Chandigarh,Patna,East,1477,2100.11,Delayed,8
SHP0057,2024-08-03,2024-08-11,2024-08-10,Patna,Bangalore,South,1898,1116.96,Delayed,8
SHP0058,2024-10-07,2024-10-09,2024-10-09,Hyderabad,Bhubaneswar,East,930,647.26,On-time,2
SHP0059,2024-12-11,2024-12-16,2024-12-14,Bhubaneswar,Pune,West,1895,1033.21,Delayed,5
SHP0060,2024-09-20,2024-09-30,2024-09-27,Hyderabad,Lucknow,North,241,198.9,Delayed,10
SHP0061,2024-04-11,2024-04-14,2024-04-14,Hyderabad,Kolkata,East,1023,909.12,Cancelled,3
SHP0062,2024-10-21,2024-10-27,2024-10-24,Lucknow,Ahmedabad,West,1062,819.17,Delayed,6
SHP0063,2024-12-18,2024-12-20,2024-12-20,Mumbai,Hyderabad,South,498,661.71,On-time,2
SHP0064,2024-10-12,2024-10-15,2024-10-15,Hyderabad,Mumbai,West,1691,1448.77,On-time,3
SHP0065,2024-11-09,2024-11-18,2024-11-16,Ahmedabad,Bhubaneswar,East,1907,1489.24,Delayed,9
SHP0066,2024-05-12,2024-05-18,2024-05-15,Mumbai,Pune,West,1642,1712.11,Delayed,6
SHP0067,2024-08-13,2024-08-18,2024-08-15,Ahmedabad,Chennai,South,606,388.4,Delayed,5
SHP0068,2024-03-18,2024-03-22,2024-03-21,Bhubaneswar,Delhi,North,1496,1948.09,Delayed,4
SHP0069,2024-06-18,2024-06-25,2024-06-24,Bangalore,Pune,West,473,271.76,Delayed,7
SHP0070,2024-07-13,2024-07-18,2024-07-18,Pune,Chandigarh,North,661,982.83,On-time,5
SHP0071,2024-04-22,2024-04-27,2024-04-26,Pune,Chennai,South,846,1076.32,Delayed,5
SHP0072,2024-03-25,2024-03-30,2024-03-30,Patna,Ahmedabad,West,1143,798.63,On-time,5
SHP0073,2024-11-25,2024-11-30,2024-11-30,Lucknow,Delhi,North,422,213.33,On-time,5
SHP0074,2024-04-18,2024-04-23,2024-04-23,Lucknow,Pune,West,1851,2434.92,On-time,5
SHP0075,2024-02-11,2024-02-16,2024-02-16,Pune,Pune,West,156,188.27,On-time,5
SHP0076,2024-01-21,2024-01-23,2024-01-23,Kolkata,Chandigarh,North,91,111.84,On-time,2
SHP0077,2024-12-08,2024-12-12,2024-12-10,Bangalore,Chennai,South,1002,1273.81,Delayed,4
SHP0078,2024-11-06,2024-11-16,2024-11-13,Bhubaneswar,Hyderabad,South,1727,991.38,Delayed,10
SHP0079,2024-01-14,2024-01-20,2024-01-18,Chennai,Chandigarh,North,818,702.22,Delayed,6
SHP0080,2024-10-30,2024-11-09,2024-11-06,Ahmedabad,Bangalore,South,1477,909.64,Delayed,10
SHP0081,2024-01-22,2024-01-28,2024-01-26,Patna,Chandigarh,North,808,1101.39,Delayed,6
SHP0082,2024-08-03,2024-08-08,2024-08-08,Chandigarh,Kolkata,East,791,888.53,On-time,5
SHP0083,2024-03-31,2024-04-09,2024-04-07,Ahmedabad,Chennai,South,603,501.03,Delayed,9
SHP0084,2024-10-30,2024-11-03,2024-11-03,Pune,Ahmedabad,West,1751,986.79,On-time,4
SHP0085,2024-08-25,2024-09-02,2024-08-31,Lucknow,Mumbai,West,738,598.5,Delayed,8
SHP0086,2024-09-06,2024-09-09,2024-09-09,Lucknow,Kolkata,East,747,616.41,On-time,3
SHP0087,2024-01-06,2024-01-12,2024-01-12,Patna,Patna,East,1524,1873.92,On-time,6
SHP0088,2024-08-31,2024-09-10,2024-09-07,Pune,Hyderabad,South,1673,1903.13,Delayed,10
SHP0089,2024-07-26,2024-08-02,2024-08-02,Delhi,Kolkata,East,1241,1721.53,On-time,7
SHP0090,2024-10-08,2024-10-12,2024-10-12,Bhubaneswar,Bhubaneswar,East,604,587.22,On-time,4
SHP0091,2024-04-08,2024-04-12,2024-04-12,Bhubaneswar,Bangalore,South,1997,1237.33,On-time,4
SHP0092,2024-09-04,2024-09-11,2024-09-08,Bangalore,Hyderabad,South,1606,1948.47,Delayed,7
SHP0093,2024-04-26,2024-04-30,2024-04-30,Kolkata,Chennai,South,1500,1891.18,On-time,4
SHP0094,2024-10-10,2024-10-17,2024-10-14,Chennai,Delhi,North,1356,1439.09,Delayed,7
SHP0095,2024-05-25,2024-05-31,2024-05-30,Mumbai,Chandigarh,North,427,542.7,Delayed,6
SHP0096,2024-02-03,2024-02-09,2024-02-08,Lucknow,Mumbai,West,1339,1330.69,Delayed,6
SHP0097,2024-06-04,2024-06-06,2024-06-06,Delhi,Hyderabad,South,1615,1651.71,On-time,2
SHP0098,2024-07-13,2024-07-19,2024-07-18,Ahmedabad,Hyderabad,South,1255,1164.06,Delayed,6
SHP0099,2024-02-20,2024-02-26,2024-02-23,Pune,Chandigarh,North,1402,736.64,Delayed,6
SHP0100,2024-10-09,2024-10-11,2024-10-11,Delhi,Bangalore,South,972,590.87,Cancelled,2
SHP0101,2024-05-27,2024-06-03,2024-06-03,Pune,Delhi,North,979,520.27,On-time,7
SHP0102,2024-11-16,2024-11-25,2024-11-22,Chandigarh,Chennai,South,455,517.07,Delayed,9
SHP0103,2024-03-17,2024-03-21,2024-03-21,Mumbai,Hyderabad,South,389,316.78,On-time,4
SHP0104,2024-03-04,2024-03-12,2024-03-09,Patna,Bhubaneswar,East,874,881.49,Delayed,8
SHP0105,2024-02-11,2024-02-17,2024-02-17,Patna,Pune,West,1554,2187.36,On-time,6
SHP0106,2024-02-16,2024-02-22,2024-02-19,Patna,Kolkata,East,1228,920.13,Delayed,6
SHP0107,2024-01-21,2024-01-25,2024-01-24,Chandigarh,Patna,East,955,869.42,Delayed,4
SHP0108,2024-09-08,2024-09-11,2024-09-10,Kolkata,Ahmedabad,West,732,919.06,Delayed,3
SHP0109,2024-06-17,2024-06-25,2024-06-22,Patna,Delhi,North,1406,1024.69,Delayed,8
SHP0110,2024-02-15,2024-02-19,2024-02-19,Ahmedabad,Lucknow,North,1632,941.63,On-time,4
SHP0111,2024-10-04,2024-10-10,2024-10-09,Ahmedabad,Chandigarh,North,1111,877.41,Delayed,6
SHP0112,2024-08-14,2024-08-16,2024-08-16,Patna,Ahmedabad,West,318,210.27,On-time,2
SHP0113,2024-01-15,2024-01-24,2024-01-22,Bhubaneswar,Mumbai,West,1503,2148.84,Delayed,9
SHP0114,2024-07-27,2024-07-29,2024-07-29,Chennai,Chandigarh,North,1919,2510.28,On-time,2
SHP0115,2024-03-19,2024-03-27,2024-03-24,Lucknow,Chandigarh,North,1494,1693.31,Delayed,8
SHP0116,2024-05-04,2024-05-11,2024-05-09,Bhubaneswar,Pune,West,440,603.44,Delayed,7
SHP0117,2024-06-23,2024-06-29,2024-06-29,Bangalore,Bhubaneswar,East,629,820.01,On-time,6
SHP0118,2024-08-16,2024-08-23,2024-08-22,Patna,Mumbai,West,1180,810.15,Delayed,7
SHP0119,2024-12-23,2024-12-28,2024-12-26,Pune,Kolkata,East,1803,2510.78,Delayed,5
SHP0120,2024-08-30,2024-09-07,2024-09-06,Mumbai,Patna,East,1409,1464.43,Delayed,8
SHP0121,2024-09-14,2024-09-20,2024-09-20,Chennai,Delhi,North,1840,2405.69,On-time,6
SHP0122,2024-03-14,2024-03-22,2024-03-19,Mumbai,Mumbai,West,203,283.41,Delayed,8
SHP0123,2024-12-20,2024-12-28,2024-12-25,Pune,Patna,East,722,590.6,Delayed,8
SHP0124,2024-01-19,2024-01-25,2024-01-25,Pune,Ahmedabad,West,1451,885.19,On-time,6
SHP0125,2024-02-20,2024-03-01,2024-02-27,Kolkata,Lucknow,North,958,697.36,Delayed,10
SHP0126,2024-01-24,2024-01-28,2024-01-28,Hyderabad,Kolkata,East,817,757.45,On-time,4
SHP0127,2024-07-29,2024-08-07,2024-08-04,Mumbai,Hyderabad,South,398,524.57,Delayed,9
SHP0128,2024-12-15,2024-12-19,2024-12-18,Bangalore,Ahmedabad,West,343,466.73,Delayed,4
SHP0129,2024-05-10,2024-05-17,2024-05-17,Chennai,Bhubaneswar,East,1002,507.97,On-time,7
SHP0130,2024-08-14,2024-08-20,2024-08-18,Patna,Bangalore,South,918,927.87,Delayed,6
SHP0131,2024-07-15,2024-07-20,2024-07-20,Bhubaneswar,Kolkata,East,1221,1120.16,On-time,5
SHP0132,2024-05-31,2024-06-05,2024-06-02,Patna,Patna,East,66,47.66,Delayed,5
SHP0133,2024-04-27,2024-05-03,2024-05-03,Chandigarh,Pune,West,439,272.12,On-time,6
SHP0134,2024-02-19,2024-02-29,2024-02-26,Patna,Hyderabad,South,1665,1394.63,Cancelled,10
SHP0135,2024-03-08,2024-03-10,2024-03-10,Mumbai,Patna,East,900,1298.62,On-time,2
SHP0136,2024-07-06,2024-07-14,2024-07-12,Bangalore,Hyderabad,South,1750,1440.61,Delayed,8
SHP0137,2024-06-22,2024-06-25,2024-06-24,Chennai,Pune,West,338,344.35,Delayed,3
SHP0138,2024-07-06,2024-07-09,2024-07-08,Hyderabad,Ahmedabad,West,1148,1381.07,Cancelled,3
SHP0139,2024-12-10,2024-12-16,2024-12-14,Lucknow,Patna,East,1357,1171.95,Delayed,6
SHP0140,2024-01-13,2024-01-21,2024-01-19,Kolkata,Chennai,South,1299,1911.84,Delayed,8
SHP0141,2024-08-25,2024-09-01,2024-09-01,Hyderabad,Chandigarh,North,288,421.18,On-time,7
SHP0142,2024-09-09,2024-09-11,2024-09-11,Bangalore,Lucknow,North,1150,864.55,On-time,2
SHP0143,2024-12-09,2024-12-19,2024-12-16,Chennai,Pune,West,908,905.5,Delayed,10
SHP0144,2024-11-11,2024-11-16,2024-11-16,Chennai,Lucknow,North,808,647.11,Cancelled,5
SHP0145,2024-07-04,2024-07-09,2024-07-06,Chennai,Mumbai,West,1896,1488.06,Delayed,5
SHP0146,2024-04-07,2024-04-10,2024-04-09,Kolkata,Pune,West,484,259.85,Delayed,3
SHP0147,2024-03-05,2024-03-11,2024-03-11,Delhi,Kolkata,East,1617,1794.17,On-time,6
SHP0148,2024-06-17,2024-06-22,2024-06-20,Hyderabad,Bangalore,South,1808,1812.84,Cancelled,5
SHP0149,2024-02-26,2024-03-04,2024-03-04,Bangalore,Kolkata,East,783,431.81,On-time,7
SHP0150,2024-03-30,2024-04-03,2024-04-03,Hyderabad,Kolkata,East,912,710.13,On-time,4
SHP0151,2024-08-17,2024-08-23,2024-08-21,Chandigarh,Lucknow,North,975,1373.06,Delayed,6
SHP0152,2024-12-03,2024-12-09,2024-12-09,Hyderabad,Chandigarh,North,113,83.57,On-time,6
SHP0153,2024-12-17,2024-12-20,2024-12-19,Lucknow,Pune,West,958,617.81,Delayed,3
SHP0154,2024-03-16,2024-03-18,2024-03-18,Delhi,Patna,East,1346,1331.8,On-time,2
SHP0155,2024-09-15,2024-09-22,2024-09-21,Bhubaneswar,Bhubaneswar,East,1487,2209.16,Delayed,7
SHP0156,2024-08-19,2024-08-23,2024-08-22,Chandigarh,Chennai,South,978,725.73,Delayed,4
SHP0157,2024-08-06,2024-08-13,2024-08-10,Pune,Lucknow,North,362,424.31,Delayed,7
SHP0158,2024-02-17,2024-02-22,2024-02-22,Mumbai,Delhi,North,813,1025.7,On-time,5
SHP0159,2024-10-14,2024-10-20,2024-10-20,Hyderabad,Chandigarh,North,891,657.24,On-time,6
SHP0160,2024-01-27,2024-02-02,2024-01-31,Patna,Ahmedabad,West,262,321.79,Delayed,6
SHP0161,2024-02-25,2024-03-02,2024-02-29,Bangalore,Mumbai,West,1611,1398.0,Delayed,6
SHP0162,2024-10-14,2024-10-22,2024-10-20,Patna,Chennai,South,1190,1347.44,Delayed,8
SHP0163,2024-04-02,2024-04-09,2024-04-06,Chandigarh,Kolkata,East,1937,2195.65,Delayed,7
SHP0164,2024-03-14,2024-03-23,2024-03-20,Bhubaneswar,Delhi,North,340,352.16,Delayed,9
SHP0165,2024-08-02,2024-08-07,2024-08-07,Delhi,Chennai,South,688,406.12,On-time,5
SHP0166,2024-03-20,2024-03-25,2024-03-23,Patna,Delhi,North,217,289.76,Cancelled,5
SHP0167,2024-11-06,2024-11-12,2024-11-11,Bhubaneswar,Pune,West,1596,1309.96,Delayed,6
SHP0168,2024-05-25,2024-06-04,2024-06-01,Lucknow,Mumbai,West,1129,775.08,Delayed,10
SHP0169,2024-11-02,2024-11-04,2024-11-04,Kolkata,Chennai,South,1986,1073.98,On-time,2
SHP0170,2024-06-16,2024-06-18,2024-06-18,Bangalore,Bhubaneswar,East,931,1015.62,On-time,2
SHP0171,2024-12-26,2024-12-31,2024-12-29,Bangalore,Ahmedabad,West,1418,1669.79,Delayed,5
SHP0172,2024-01-22,2024-01-27,2024-01-27,Kolkata,Ahmedabad,West,209,107.97,On-time,5
SHP0173,2024-07-26,2024-08-05,2024-08-02,Patna,Ahmedabad,West,285,288.45,Delayed,10
SHP0174,2024-11-12,2024-11-20,2024-11-17,Mumbai,Kolkata,East,230,167.09,Delayed,8
SHP0175,2024-10-28,2024-11-04,2024-11-02,Mumbai,Chennai,South,1832,2097.96,Delayed,7
SHP0176,2024-06-19,2024-06-22,2024-06-22,Patna,Kolkata,East,283,190.85,On-time,3
SHP0177,2024-11-26,2024-11-29,2024-11-29,Chennai,Patna,East,574,683.6,On-time,3
SHP0178,2024-02-08,2024-02-14,2024-02-11,Bangalore,Hyderabad,South,1595,1414.34,Delayed,6
SHP0179,2024-06-10,2024-06-14,2024-06-13,Ahmedabad,Patna,East,955,1372.08,Delayed,4
SHP0180,2024-09-16,2024-09-18,2024-09-18,Bhubaneswar,Lucknow,North,127,80.97,On-time,2
SHP0181,2024-11-26,2024-11-30,2024-11-28,Lucknow,Kolkata,East,837,703.97,Delayed,4
SHP0182,2024-10-19,2024-10-26,2024-10-26,Ahmedabad,Lucknow,North,1024,628.2,On-time,7
SHP0183,2024-06-24,2024-07-01,2024-07-01,Bangalore,Mumbai,West,403,574.15,On-time,7
SHP0184,2024-09-25,2024-10-03,2024-10-01,Delhi,Pune,West,813,1119.78,Delayed,8
SHP0185,2024-12-13,2024-12-19,2024-12-19,Bhubaneswar,Pune,West,1375,1042.17,On-time,6
SHP0186,2024-10-12,2024-10-20,2024-10-19,Kolkata,Kolkata,East,1532,1777.1,Delayed,8
SHP0187,2024-12-05,2024-12-08,2024-12-08,Chennai,Chandigarh,North,1393,1834.89,On-time,3
SHP0188,2024-10-13,2024-10-21,2024-10-18,Mumbai,Lucknow,North,1715,1809.67,Delayed,8
SHP0189,2024-12-09,2024-12-16,2024-12-14,Hyderabad,Chandigarh,North,792,815.48,Delayed,7
SHP0190,2024-09-05,2024-09-08,2024-09-08,Kolkata,Chennai,South,367,272.26,On-time,3
SHP0191,2024-10-03,2024-10-12,2024-10-10,Lucknow,Chandigarh,North,739,438.3,Cancelled,9
SHP0192,2024-03-24,2024-03-30,2024-03-27,Hyderabad,Mumbai,West,1706,2383.65,Delayed,6
SHP0193,2024-07-29,2024-08-05,2024-08-02,Hyderabad,Mumbai,West,959,1343.0,Delayed,7
SHP0194,2024-09-30,2024-10-03,2024-10-03,Patna,Mumbai,West,1656,1876.42,On-time,3
SHP0195,2024-10-19,2024-10-25,2024-10-24,Mumbai,Patna,East,1643,1378.53,Delayed,6
SHP0196,2024-04-12,2024-04-18,2024-04-18,Ahmedabad,Mumbai,West,156,132.48,On-time,6
SHP0197,2024-09-21,2024-09-23,2024-09-23,Pune,Chandigarh,North,378,463.41,On-time,2
SHP0198,2024-02-16,2024-02-20,2024-02-19,Bhubaneswar,Chennai,South,1955,2731.35,Delayed,4
SHP0199,2024-09-14,2024-09-18,2024-09-18,Lucknow,Lucknow,North,217,301.0,On-time,4
SHP0200,2024-02-20,2024-03-01,2024-02-27,Kolkata,Lucknow,North,349,446.68,Delayed,10
SHP0201,2024-12-22,2024-12-28,2024-12-25,Bangalore,Bhubaneswar,East,1310,1496.06,Delayed,6
SHP0202,2024-04-20,2024-04-25,2024-04-23,Delhi,Lucknow,North,1296,757.05,Delayed,5
SHP0203,2024-06-03,2024-06-05,2024-06-05,Mumbai,Kolkata,East,1358,898.49,On-time,2
SHP0204,2024-11-01,2024-11-07,2024-11-07,Mumbai,Lucknow,North,1227,1716.03,On-time,6
SHP0205,2024-08-07,2024-08-11,2024-08-09,Hyderabad,Chennai,South,1218,1347.63,Delayed,4
SHP0206,2024-07-03,2024-07-07,2024-07-05,Mumbai,Chandigarh,North,1660,845.27,Delayed,4
SHP0207,2024-11-21,2024-11-26,2024-11-26,Lucknow,Mumbai,West,83,49.92,On-time,5
SHP0208,2024-12-02,2024-12-09,2024-12-09,Kolkata,Kolkata,East,1555,1809.25,On-time,7
SHP0209,2024-10-06,2024-10-13,2024-10-10,Kolkata,Lucknow,North,1645,830.83,Delayed,7
SHP0210,2024-04-03,2024-04-06,2024-04-06,Ahmedabad,Ahmedabad,West,1982,1309.72,On-time,3
SHP0211,2024-01-23,2024-01-26,2024-01-26,Mumbai,Kolkata,East,685,718.38,On-time,3
SHP0212,2024-01-19,2024-01-26,2024-01-26,Ahmedabad,Pune,West,1815,2163.29,On-time,7
SHP0213,2024-03-04,2024-03-09,2024-03-08,Chandigarh,Bhubaneswar,East,1572,1810.88,Delayed,5
SHP0214,2024-09-11,2024-09-19,2024-09-18,Pune,Kolkata,East,1682,1218.22,Delayed,8
SHP0215,2024-08-08,2024-08-14,2024-08-14,Kolkata,Mumbai,West,707,857.01,On-time,6
SHP0216,2024-05-31,2024-06-05,2024-06-04,Delhi,Patna,East,922,679.74,Delayed,5
SHP0217,2024-08-16,2024-08-21,2024-08-18,Hyderabad,Pune,West,772,637.21,Delayed,5
SHP0218,2024-12-09,2024-12-17,2024-12-16,Pune,Delhi,North,1690,2106.57,Delayed,8
SHP0219,2024-12-13,2024-12-18,2024-12-18,Bangalore,Hyderabad,South,533,612.75,On-time,5
SHP0220,2024-01-17,2024-01-23,2024-01-23,Bhubaneswar,Ahmedabad,West,1993,2689.0,On-time,6
SHP0221,2024-10-20,2024-10-25,2024-10-23,Bhubaneswar,Mumbai,West,693,802.23,Delayed,5
SHP0222,2024-04-05,2024-04-12,2024-04-10,Kolkata,Delhi,North,1200,1281.97,Delayed,7
SHP0223,2024-08-16,2024-08-21,2024-08-19,Lucknow,Patna,East,1926,1143.42,Delayed,5
SHP0224,2024-02-07,2024-02-12,2024-02-12,Mumbai,Delhi,North,961,833.87,On-time,5
SHP0225,2024-06-26,2024-07-03,2024-07-03,Chandigarh,Patna,East,644,492.79,On-time,7
SHP0226,2024-09-17,2024-09-20,2024-09-20,Kolkata,Chennai,South,1672,1243.95,On-time,3
SHP0227,2024-07-03,2024-07-11,2024-07-09,Bangalore,Mumbai,West,1695,2496.75,Delayed,8
SHP0228,2024-06-07,2024-06-15,2024-06-12,Hyderabad,Delhi,North,1126,1005.63,Delayed,8
SHP0229,2024-06-11,2024-06-18,2024-06-18,Pune,Delhi,North,1442,2007.33,On-time,7
SHP0230,2024-08-09,2024-08-15,2024-08-15,Kolkata,Bangalore,South,1111,1256.7,On-time,6
SHP0231,2024-06-14,2024-06-21,2024-06-21,Chennai,Bangalore,South,1976,2558.55,On-time,7
SHP0232,2024-11-21,2024-11-27,2024-11-27,Kolkata,Kolkata,East,670,671.77,On-time,6
SHP0233,2024-10-24,2024-10-27,2024-10-27,Chandigarh,Hyderabad,South,1525,1642.28,On-time,3
SHP0234,2024-02-11,2024-02-16,2024-02-13,Patna,Delhi,North,592,587.57,Delayed,5
SHP0235,2024-11-23,2024-11-26,2024-11-25,Hyderabad,Ahmedabad,West,1167,811.35,Delayed,3
SHP0236,2024-05-05,2024-05-13,2024-05-12,Patna,Bhubaneswar,East,199,243.27,Delayed,8
SHP0237,2024-09-04,2024-09-09,2024-09-09,Delhi,Pune,West,344,268.59,On-time,5
SHP0238,2024-06-25,2024-06-30,2024-06-30,Patna,Patna,East,1104,578.84,On-time,5
SHP0239,2024-03-03,2024-03-08,2024-03-07,Lucknow,Chennai,South,248,284.08,Delayed,5
SHP0240,2024-08-02,2024-08-05,2024-08-05,Lucknow,Ahmedabad,West,1962,1328.49,On-time,3
SHP0241,2024-09-20,2024-09-26,2024-09-25,Kolkata,Chennai,South,1068,1538.41,Delayed,6
SHP0242,2024-08-22,2024-08-25,2024-08-25,Delhi,Ahmedabad,West,149,216.64,On-time,3
SHP0243,2024-11-30,2024-12-08,2024-12-07,Lucknow,Ahmedabad,West,66,93.38,Delayed,8
SHP0244,2024-07-06,2024-07-11,2024-07-11,Lucknow,Chennai,South,154,134.0,Cancelled,5
SHP0245,2024-07-16,2024-07-23,2024-07-22,Chennai,Kolkata,East,622,320.61,Delayed,7
SHP0246,2024-07-10,2024-07-16,2024-07-14,Delhi,Lucknow,North,1596,2279.6,Delayed,6
SHP0247,2024-01-21,2024-01-23,2024-01-23,Bangalore,Ahmedabad,West,732,679.43,On-time,2
SHP0248,2024-11-06,2024-11-12,2024-11-12,Ahmedabad,Mumbai,West,1305,1913.98,On-time,6
SHP0249,2024-06-02,2024-06-08,2024-06-08,Kolkata,Ahmedabad,West,1093,1599.74,On-time,6
SHP0250,2024-01-09,2024-01-13,2024-01-13,Ahmedabad,Bhubaneswar,East,903,1221.77,On-time,4
SHP0251,2024-08-30,2024-09-06,2024-09-03,Patna,Chandigarh,North,1639,1302.1,Delayed,7
SHP0252,2024-09-02,2024-09-07,2024-09-05,Hyderabad,Chandigarh,North,1319,1167.44,Delayed,5
