Date,ProductID,BatchID,Status
2024-02-14,Product 9,B-1005,Pass
2024-02-10,Product 5,B-1005,Pass
2024-05-14,Product 10,B-1002,Pass
2024-05-25,Product 4,B-1009,Pass
2024-01-14,Product 3,B-1023,Fail
2024-05-28,Product 4,B-1014,Pass
2024-02-03,Product 8,B-1006,Pass
2024-03-28,Product 9,B-1004,Pass
2024-04-17,Product 3,B-1016,Pass
2024-04-02,Product 6,B-1009,Fail
